Území,CZ NACE,Ukazatel,Roky,value
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2010,1832907.90246914
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2011,1862865.78158977
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2012,1870382.84701859
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2013,1885515.46251284
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2014,1964988.53034302
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2015,2071932.56478659
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2016,2190895.51138172
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2017,2363814.36300805
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2018,2533378.06363785
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2019,2697519.87076504
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2020,2469668.88479139
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2021,2768288.26805628
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2022,3232250.23115281
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2023,3459361.8074940247
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2008,2217257.25863104
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2009,2092749.14278608
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2010,2103191.02762785
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2011,2220675.47487822
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2012,2181584.4375645
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2013,2265558.76570783
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2014,2329134.00674742
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2015,2395068.60919029
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2016,2494450.70493518
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2017,2703029.24458959
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2018,2915834.22073072
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2019,3084664.21349771
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2020,2953272.24021534
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2021,3281197.93418398
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Náklady celkem (mil. Kč),2022,3993927.4402257
